npBreed_Name,Registry_Groups,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Coat_Type,Color_Varieties,Coat_Length,Training_Difficulty,Activity_Level,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns,Unique_Traits
Pixiebob,TICA; WCF,United States,Medium-Large,20-25,2.5-5.4,13-16,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Sensitive,Short or Long; Double; Woolly,Brown; Brown Tabby; Sorrel; Spotted; Ticked,Short or Long,Moderate,Moderate,Moderate,Yes,Yes,Moderate,Polydactylism (extra toes); Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Polydactyl (extra toes); Bobtail; Wild appearance; Dog-like personality; Friendly and dog-like
Ragamuffin,TICA; CFA; WCF,United States,Large,20-25,3.6-6.8,12-16,Affectionate; Alert; Calm; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Playful; Quiet; Sweet,Semi-long; Plush; Dense; Double; Soft; Woolly,All colors and patterns (including colorpoint); Red; Cream; White; Brown; Blue; Gray; Tabby; Calico,Semi-long,Low,Moderate,Very High,Yes,Yes,Moderate-High,Polycystic Kidney Disease; Hypertrophic Cardiomyopathy; Hip Dysplasia; Patellar Luxation,Large gentle breed; Ragdoll-like temperament; Placid and gentle; Loves to greet family; Dog-like qualities
Ragdoll,TICA; CFA; FIFe; GCCF; WCF,United States,Large,20-25,3.6-6.3,12-15,Affectionate; Alert; Calm; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Laid-back; Loyal; Playful; Quiet; Sensitive; Sweet; Docile,Semi-long; Silky; Fine; Dense; Double,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Lynx Point; Mitted; Van pattern,Semi-long,Low,Moderate,Very High,Yes,Yes,Moderate,Polycystic Kidney Disease; Hypertrophic Cardiomyopathy; Hip Dysplasia; Progressive Retinal Atrophy; Feline Infectious Peritonitis,Large docile breed; Goes limp when picked up; Blue eyes; Semi-long silky coat; Calm temperament
Russian Blue,TICA; CFA; FIFe; GCCF; WCF,Russia,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Independent; Keen; Loyal; Observant; Quiet; Reserved (with strangers); Sensitive; Shy,Short; Fine; Double; Dense; Silky; Plush; Distinctive silver-tipped guard hairs,Blue; Gray; Silver; Distinctive silver-tipped guard hairs,Short,Moderate,Moderate,Low,Yes,Yes,Moderate,Progressive Retinal Atrophy; Hip Dysplasia; Hypertrophic Cardiomyopathy; No Major Health Concerns,Silver-tipped blue coat; Green eyes; Quiet and reserved; Elegant and graceful; Ancient breed
Savannah,TICA; WCF,United States (Serval hybrid),Medium-Large,20-28,3.6-11.3,12-20,Active; Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Social,Short; Fine; Dense; Spotted,Brown; Golden; Silver; Black; Smoke; Ticked; Spotted Tabby,Short,High,Very High,Low,Yes,Moderate-Yes,Moderate,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Polycystic Kidney Disease,Exotic hybrid with Serval; Tall and slender; Playful and energetic; Can be trained on leash; May need permit
Scottish Fold,TICA; CFA; WCF,Scotland,Small-Medium,20-25,2.3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet; Loving; Undemanding,Short or Long; Dense; Double,All colors and patterns; Tabby; Solid; Colorpoint,Short or Long,Low,Moderate,Moderate,Yes,Yes,Moderate,Osteochondrodysplasia; Hip Dysplasia; Degenerative Joint Disease; Otitis Media; Ear Problems,Distinctive folded ears; Available in short and long hair; Sweet and gentle; Undemanding temperament; Sit in owl-like posture
Scottish Straight,TICA; WCF,Scotland,Small-Medium,20-25,2.3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet,Short or Long; Dense; Double,All colors and patterns; Tabby; Solid; Colorpoint,Short or Long,Low,Moderate,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Straight-eared Scottish Fold variant; Available in short and long hair; Similar temperament to Scottish Fold; No ear issues
Selkirk Rex,TICA; CFA; WCF,United States,Small-Large,20-25,2.3-5.9,12-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Patient; Playful; Quiet; Responsive; Sweet,Short or Long; Curly; Wavy; Double; Soft; Plush; Woolly,All colors and patterns,Short or Long,Low,Moderate,Very High,Yes,Yes,Moderate-High,Hypertrophic Cardiomyopathy; Patellar Luxation; Hip Dysplasia; Polycystic Kidney Disease; Ear Problems,Distinctive curly/wavy coat; Teddy bear appearance; Available in short and long hair; Plush coat; Gentle nature
Siamese,TICA; CFA; FIFe; GCCF; WCF,Thailand,Small-Medium,20-25,2.3-5.4,8-15,Affectionate; Alert; Courageous; Curious; Demanding; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Sensitive; Social; Vocal; Talkative,Short; Fine; Glossy; Dense; Smooth,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Flame; Caramel; Apricot,Short,Moderate,High,Low,Yes,Yes,Low,Strabismus; Asthma; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Lymphoma; Cancer,Colorpoint pattern; Distinctive blue almond-shaped eyes; Very vocal and talkative; Slender elegant body; Ancient breed
Siberian,TICA; CFA; FIFe; GCCF; WCF,Russia,Large,20-28,4.5-9,12-18,Affectionate; Alert; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Observant; Playful; Quiet; Responsive,Long; Double; Dense; Heavy; Weather-resistant; Thick undercoat,All colors and patterns except colorpoint and abyssinian,Long,Moderate,High,Very High,Yes,Yes,Very High,Hypertrophic Cardiomyopathy; Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Polycystic Kidney Disease,Large fluffy breed; Triple-layered coat; Excellent jumpers; Strong and muscular; Dog-like personality
Singapura,TICA; CFA; WCF,Singapore,Small,18-20,1.8-2.7,11-15,Affectionate; Alert; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Sensitive,Short; Silky; Fine; Ticked; Glossy; Dense,Warm sepia brown; Ticked tabby pattern,Short,Moderate,Moderate,Low,Yes,Yes,Low,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Pyruvate Kinase Deficiency,Smallest domestic cat breed; Sepia-toned ticked coat; Asian origin; Affectionate and gentle; Distinctive large eyes and ears
Snowshoe,TICA; CFA; WCF,United States,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Sensitive; Social; Vocal,Short; Fine; Dense; Glossy; Smooth,Seal; Chocolate; Blue; Lilac; Red; Cream; with white paws and face markings (Mitted colorpoint),Short,Moderate,Moderate,Low,Yes,Yes,Low,Strabismus; Asthma; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Patellar Luxation,Mitted colorpoint pattern; White paws and face markings; Siamese heritage; Vocal nature; Athletic build
Somali,TICA; CFA; FIFe; GCCF; WCF,Canada/United States,Medium,20-25,3.6-5.4,12-14,Affectionate; Alert; Active; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Quiet; Responsive,Long; Fine; Double; Ticked; Dense; Distinctive ruff,Red; Ruddy; Blue; Cream; Fawn; Sorrel; Ticked tabby,Long,Moderate,Very High,High,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Kidney Disease,Long-haired Abyssinian variant; Ticked coat; Ruff-like mane; Very active and energetic; Athletic build
Sphynx,TICA; CFA; WCF,Canada,Small-Medium,20-25,2.3-4.5,8-14,Affectionate; Alert; Athletic; Curious; Demanding; Energetic; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Loving; Mischievous; Outgoing; Playful; Social; Vocal,Hairless; Warm to touch; Suede-like skin; Wrinkled,All colors and patterns,Hairless,Moderate,High,Very High (skin care),Yes,Yes,,Hypertrophic Cardiomyopathy; Patellar Luxation; Progressive Retinal Atrophy; Sunburn Risk; Skin Sensitivity,Hairless breed; Warm body temperature; Require warm environment; Wrinkled skin; High energy; Suede-like texture
Thai,TICA; CFA; WCF,Thailand,Small-Medium,20-25,2.3-5.4,10-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Sensitive; Social; Vocal,Short; Fine; Glossy; Dense; Smooth; Colorpoint pattern,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Flame; Caramel; Apricot,Short,Moderate,High,Low,Yes,Yes,Low,Strabismus; Asthma; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Lymphoma; Cancer,Traditional/old-style Siamese; Less extreme features; Muscular build; Very vocal; Affectionate nature
Tonkinese,TICA; CFA; FIFe; GCCF; WCF,Canada/United States (Burma/Thailand),Small-Medium,20-25,2.3-5.4,12-16,Affectionate; Alert; Athletic; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Social; Sweet,Short; Fine; Glossy; Dense; Satin-like,Colorpoint (Mink and Solid patterns); Natural Mink; Champagne; Blue; Platinum; Honey; Caramel; Aqua eyes distinctive,Short,Moderate,Moderate-High,Low,Yes,Yes,Moderate,Strabismus; Hypertrophic Cardiomyopathy; Patellar Luxation; Progressive Retinal Atrophy; Asthma,Cross between Siamese and Burmese; Distinctive aqua eyes; Mink; solid and colorpoint patterns; Athletic build
Toyger,TICA; WCF,United States,Small-Medium,20-25,2.3-4.5,13-15,Affectionate; Alert; Athletic; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Social,Short; Dense; Fine; Double; Distinctive mackerel tabby,Orange with mackerel tabby stripes; Brown with black stripes; Resembles miniature tiger,Short,Moderate,Moderate,Low,Yes,Yes,Low,Hip Dysplasia; Patellar Luxation; Hypertrophic Cardiomyopathy; No Major Health Concerns,Tiger-like appearance; Mackerel tabby pattern; Miniature tiger; Playful and active; Bengal and Tabby cross
Turkish Angora,TICA; CFA; FIFe; GCCF; WCF,Turkey,Small-Medium,20-25,2.3-5,12-18,Affectionate; Alert; Athletic; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Social,Long; Fine; Silky; Single coat; Feathered tail,All colors and patterns; White most popular; Blue; Black; Red; Cream; Tabby; Calico; Multicolored,Long,Moderate,High,Very High,Yes,Yes,Moderate,Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy; Hereditary Ataxia; Congenital Deafness,Elegant and graceful; Silky soft coat; Large pointy ears; Active and playful; Sweeping plumed tail
Turkish Van,TICA; CFA; FIFe; GCCF; WCF,Turkey,Medium-Large,20-25,3.6-6.3,12-17,Affectionate; Alert; Athletic; Courageous; Curious; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Keen; Lively; Loyal; Playful; Responsive; Strong-willed; Vocal,Semi-long; Fine; Double; Dense; Silky; Water-resistant,White; Auburn; Cream; Tabby; Van pattern (colored head and tail),Semi-long,Moderate,High,Very High,Yes,Yes,Moderate-High,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy; Patellar Luxation,Water-loving breed; Distinctive van pattern; Semi-aquatic nature; Strong and active; Ancient breed
Domestic Shorthair (Tabby; Calico; Solid),No specific registry,Various,Small-Large,15-25,2.3-7.7,11-21,Easygoing; Friendly; Curious; Adaptable; Independent; Affectionate; Alert; Playful,Short; Dense; Double,All colors and patterns; Tabby; Calico; Solid; Bicolor,Short,Low,Varies,Low,Yes,Yes,Moderate,Varies (breed-dependent),Most common domestic cat; Lowest cost adoption; Healthy hybrid vigor; Adaptable; Long-lived
Domestic Longhair,No specific registry,Various,Small-Large,15-25,2.3-7.7,12-20,Easygoing; Friendly; Curious; Adaptable; Independent; Affectionate; Alert; Playful,Long; Dense; Double; Varies,All colors and patterns; Tabby; Calico; Solid; Bicolor,Long,Low,Varies,Moderate-Very High,Yes,Yes,High,Varies (breed-dependent),Fluffy domestic cats; Common in rescues; Long-lived; Healthy hybrid vigor; Low cost
Household Pet (Mixed Breed),TICA (Non-championship),Various,Various,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Low,Varies,Varies,Often Yes,Often Yes,Varies,Varies (mix-dependent),Can compete in TICA shows; Mixed breed; Unique personalities; Rescue-friendly; No pedigree required
Asian Tabby,GCCF; WCF,Great Britain,Small-Medium,20-25,3.6-5.9,12-17,Affectionate; Alert; Calm; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful,Short; Dense; Glossy,All colors and patterns; Tabby,Short,Low,Moderate,Low,Yes,Yes,Moderate,No Major Health Concerns,Derived from Asian group; Tabby-only breed; Calm temperament
British Blue,GCCF; FIFe; WCF,Great Britain,Medium-Large,25-30,3.6-7.7,12-20,Affectionate; Alert; Calm; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Patient; Quiet,Short; Dense; Double; Plush,Blue; Gray; Slate Blue,Short,Low,Moderate,Moderate,Yes,Yes,Very High,Hip Dysplasia; Hypertrophic Cardiomyopathy,Blue variety of British Shorthair; Dense coat; Calm temperament
Bombay Black,TICA; FIFe; WCF,United States,Medium,20-25,2.7-5.4,12-20,Affectionate; Alert; Demanding; Friendly; Intelligent; Loyal; Outgoing; Playful; Talkative,Short; Glossy; Dense; Fine,Black; Sable,Short,Low,Moderate,Low,Yes,Yes,Moderate,No Major Health Concerns,All-black coat; Glossy fur; Dog-like personality; Copper eyes; Playful
Japanese Chin,TICA; WCF,Japan,Small,15-20,1.8-3.6,10-14,Affectionate; Alert; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Playful; Social,Long; Double; Fine; Silky,Black and White; Red and White; Bi-color,Long,Moderate,Moderate,Very High,Yes,Yes,High,Eye Problems; Breathing Issues; Heart Disease,Long-haired with fancy coat; Affectionate and loyal; Strong prey drive
Russian White,TICA; WCF,Russia,Small-Medium,20-25,2.3-4.5,12-15,Affectionate; Alert; Calm; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Quiet; Shy,Short; Fine; Double; Dense; Silky,White; Silver; Blue with white,Short,Moderate,Moderate,Low,Yes,Yes,Moderate,Progressive Retinal Atrophy; No Major Health Concerns,White variant of Russian Blue; Emerald green eyes; Elegant appearance
German Rex,FIFe; WCF,Germany,Small-Medium,20-25,2.3-4.5,10-13,Affectionate; Alert; Athletic; Curious; Energetic; Even-tempered; Friendly; Intelligent; Playful,Short; Curly; Double; Soft; Wavy,All colors and patterns,Short,Moderate,High,Moderate,Yes,Yes,Low,Hypertrophic Cardiomyopathy; No Major Health Concerns,Wavy coat like Cornish Rex; Soft texture; Playful nature; Rare breed
Oregon Rex,WCF,United States,Small-Medium,20-25,2.3-4.5,10-13,Affectionate; Alert; Athletic; Curious; Energetic; Even-tempered; Friendly; Intelligent; Playful,Short; Curly; Double; Soft; Wavy,All colors and patterns,Short,Moderate,High,Moderate,Yes,Yes,Low,Hypertrophic Cardiomyopathy; No Major Health Concerns,Wavy coated Rex breed; Rare mutation; Similar to Cornish Rex
Highland Fold,TICA; WCF,Scotland,Medium-Large,20-25,3.6-6,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Playful,Long; Dense; Double,All colors and patterns,Long,Low,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Ear Problems; Osteochondrodysplasia,Long-haired Scottish Fold variant; Folded ears; Fluffy coat; Gentle nature
Turkish Eyeglass,WCF,Turkey,Medium,20-25,3-5,12-17,Affectionate; Alert; Athletic; Courageous; Curious; Devoted; Even-tempered; Friendly; Intelligent; Lively; Loyal; Playful,Semi-long; Fine; Double; Dense; Silky,White; Auburn; Cream; Tabby,Semi-long,Moderate,High,High,Yes,Yes,Moderate-High,Hip Dysplasia; Hypertrophic Cardiomyopathy; Progressive Retinal Atrophy,White with colored face; Van pattern; Water-loving; Strong and active
Burmilla Longhair,GCCF; WCF,Great Britain,Small-Medium,20-25,2.5-4.5,10-12,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful; Social; Vocal,Long; Fine; Double; Silky,Black; Blue; Brown; Chocolate; Lilac; Red; Cream,Long,Low,Moderate,Very High,Yes,Yes,High,Dental Disease; Patellar Luxation; No Major Health Concerns,Long-haired Burmilla variant; Silver-tipped coat; Playful and active
American Keuda,TICA; WCF,United States,Medium-Large,20-25,3.6-5.9,12-16,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Social,Short or Long; Double; Dense,All colors and patterns; Brown tabby most common,Short or Long,Moderate,High,Moderate-High,Yes,Yes,Moderate-High,Hip Dysplasia; Patellar Luxation; No Major Health Concerns,Domestic foundation breed; Athletic build; Available in short and long hair; Good mousers
Serengeti,TICA; WCF,United States,Medium-Large,23-28,3.6-8.2,12-15,Active; Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful,Short; Dense; Fine; Spotted tabby,Brown; Smoke; Silver; Spots or stripes,Short,Moderate,Very High,Low,Yes,Moderate,Moderate,Hip Dysplasia; Hypertrophic Cardiomyopathy; No Major Health Concerns,Serval-like appearance; Tall and slender; Spotted coat; Athletic and energetic; High prey drive
Sokoke,TICA; FIFe; GCCF; WCF,Kenya,Small-Medium,20-25,2.3-4.5,13-17,Active; Affectionate; Alert; Curious; Devoted; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Responsive,Short; Fine; Dense; Glossy; Ticked tabby,Red; Brown; Black; Chocolate ticked,Short,Moderate,Very High,Low,Yes,Yes,Low,Hip Dysplasia; Progressive Retinal Atrophy; No Major Health Concerns,Ticked tabby coat; African origin; Natural breed; Rare breed; High energy
Polydactyl,TICA,United States,Medium,20-25,3-5,12-18,Affectionate; Alert; Curious; Even-tempered; Friendly; Intelligent; Loyal; Playful,Short or Long; Dense; Varies,All colors and patterns,Short or Long,Low,Moderate,Low-Moderate,Yes,Yes,Moderate,Arthritis; Hip Dysplasia; No Major Health Concerns,Extra toes; Genetic trait; Enhanced dexterity; Unique toe configuration; Healthier variants
Chinese Li Hua,WCF,China,Small-Medium,20-25,3.6-5.9,12-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful; Quiet,Short; Double; Dense; Fine,Brown Tabby; Silver Tabby; Classic tabby pattern,Short,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Concerns,Ancient Chinese breed; Natural; Tabby pattern; Strong and healthy; Good hunters
Scottish Fold Longhair,TICA; CFA; WCF,Scotland,Small-Medium,20-25,2.3-5.4,11-15,Affectionate; Alert; Calm; Courageous; Curious; Even-tempered; Friendly; Gentle; Intelligent; Keen; Loyal; Playful; Sweet,Long; Dense; Double,All colors and patterns; Tabby; Solid; Colorpoint,Long,Low,Moderate,Very High,Yes,Yes,Very High,Hip Dysplasia; Osteochondrodysplasia; Ear Problems; Degenerative Joint Disease,Folded ears; Long fluffy coat; Distinctive appearance; Sweet and gentle; Sit in owl-like posture
Thai Colorpoint Shorthair,TICA; FIFe; WCF,Thailand,Small-Medium,20-25,2.3-5.4,10-15,Affectionate; Alert; Courageous; Curious; Even-tempered; Friendly; Intelligent; Keen; Loyal; Playful; Responsive; Social; Vocal,Short; Fine; Glossy; Dense; Smooth; Colorpoint pattern,Seal; Chocolate; Blue; Lilac; Cream; Red; Flame,Short,Moderate,High,Low,Yes,Yes,Low,Strabismus; Asthma; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy,Traditional/old-style Siamese; Less extreme features; Muscular build; Very vocal; Affectionate
Elf Cat,TICA,United States,Small-Medium,20-25,2.3-4.5,8-14,Affectionate; Alert; Athletic; Curious; Demanding; Energetic; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Playful,Hairless; Warm to touch; Suede-like skin; Curled ears,All colors and patterns,Hairless,Moderate,High,Very High (skin care),Yes,Yes,None,Hypertrophic Cardiomyopathy; Patellar Luxation; Skin Sensitivity; Sunburn Risk,Hairless breed; Curled ears (Elf trait); Warm body temperature; Require warm environment; High energy
Sunburst,TICA,United States,Medium-Large,20-28,2.7-5,12-20,Active; Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Friendly; Intelligent; Loyal; Playful; Sensitive,Short; Double; Dense; Golden appearance,Golden; Red; Apricot; Glitter effect,Short,Moderate,Very High,Low,Yes,Moderate,Moderate,Hip Dysplasia; Hypertrophic Cardiomyopathy; No Major Health Concerns,Golden shimmering coat; Exotic spotted/rosetted coat; High prey drive; Active and playful
Bambino,TICA,United States,Small,12-18,1.4-3.2,8-14,Affectionate; Alert; Athletic; Curious; Demanding; Energetic; Even-tempered; Friendly; Intelligent; Keen; Lively; Loyal; Mischievous; Playful; Social; Vocal,Hairless; Warm to touch; Suede-like skin; Short legs,All colors and patterns,Hairless,Moderate,High,Very High (skin care),Yes,Yes,None,Hypertrophic Cardiomyopathy; Patellar Luxation; Lordosis; Skin Sensitivity,Hairless breed; Short legs (Munchkin); Tiny size; Wrinkled skin; High energy; Requires warm environment
