Brand_Name,Generic_Name,Type,Pet_Type,Disease_Treatment,Dosage,Dosage_Unit,Administration_Route,Duration_Frequency,Description,Manufacturer,Common_Side_Effects
Baytril,Enrofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Bacterial infections (skin; urinary; respiratory),5-20,mg/kg/day,Oral tablet,Once daily,Broad-spectrum antibiotic for dermal; urinary and respiratory infections. Available in multiple tablet sizes (22.7mg; 68mg; 136mg) with flexible dosing,Elanco,Gastrointestinal upset; photosensitivity; seizures (rare)
Clavamox,Amoxicillin + Clavulanic Acid,Antibiotic - Beta-Lactam,Dogs and Cats,Bacterial infections (skin; soft tissue),13.75,mg/kg,Oral tablet/chewable/liquid,Every 12 hours,Combination antibiotic effective against Staphylococci and other bacteria. Most common dosage 6.875mg per pound every 12 hours. Available in multiple formulations,Zoetis,Gastrointestinal upset; allergic reactions; nausea
Amoxicillin,Amoxicillin,Antibiotic - Aminopenicillin,Dogs and Cats,Bacterial infections; urinary tract infections,5-12,mg/kg,Oral,Every 12 hours,Broader spectrum penicillin derivative. More resistant to stomach acids than penicillin. Typical dosage 5-12mg/lb twice daily. Use for 5-7 days or 48 hours after symptoms resolve,Multiple brands,Gastrointestinal upset; allergic reactions; diarrhea
Cephalexin,Cephalexin,Antibiotic - First-Generation Cephalosporin,Dogs and Cats,Bacterial infections (skin; respiratory; wound),15-30,mg/kg,Oral capsule/tablet,Every 6-8 hours,First-generation cephalosporin for superficial/deep pyoderma and soft tissue infections. Effective against Gram-positive bacteria,Multiple brands,Gastrointestinal upset; allergic reactions; potential cross-reactivity with penicillin
Doxycycline,Doxycycline,Antibiotic - Tetracycline,Dogs and Cats,Respiratory infections; tick-borne disease (Lyme); Ehrlichia,5-10,mg/kg,Oral tablet/capsule,Every 12 hours,Essential for upper/lower respiratory infections and obligate intracellular bacteria treatment. May cause photosensitivity and esophageal ulceration if not properly swallowed,Multiple brands,Photosensitivity; gastrointestinal upset; esophageal ulceration
Clindamycin,Clindamycin,Antibiotic - Lincosamide,Dogs and Cats,Bacterial infections (skin; soft tissue; anaerobic),5-15,mg/kg,Oral capsule/IV injection,Every 8-12 hours,Recommended first-line for canine/feline pyoderma in many countries. Also for anaerobic infections. Injectable forms available for life-threatening infections,Multiple brands,Gastrointestinal upset; pseudomembranous colitis; esophageal ulceration
Terramycin,Oxytetracycline,Antibiotic - Tetracycline,Dogs and Cats,Respiratory; urinary tract; skin infections,10-20,mg/kg,Oral tablet,Every 8-12 hours,Effective against wide range of bacteria. Used for respiratory infections; UTIs; and certain skin conditions. Available in tablet form,Multiple brands,Gastrointestinal upset; photosensitivity; esophageal irritation
Metronidazole,Metronidazole,Antibiotic - Nitroimidazole,Dogs and Cats,Anaerobic bacterial infections; protozoal infections; Giardia,10-25,mg/kg,Oral tablet/liquid,Every 8-12 hours,For anaerobic bacteria and protozoal enteric infections. Also used for Giardia treatment. Bitter taste requires careful administration in cats,Multiple brands,Gastrointestinal upset; metallic taste; neurological effects (at high doses)
Rimadyl,Carprofen,NSAID - COX-2 Inhibitor,Dogs,Osteoarthritis; post-surgical pain; inflammation,2,mg/kg,Oral tablet/chewable,Every 12 hours,Non-steroidal anti-inflammatory approved for canine use. First-line arthritis medication. Available as tablets or beef-flavored chewables,Zoetis,Gastrointestinal upset; gastric ulceration; reduced appetite; lethargy
Metacam,Meloxicam,NSAID - COX-2 Inhibitor,Dogs and Cats,Osteoarthritis; soft-tissue injury; post-surgical pain,0.1,mg/kg,Oral liquid/tablet/injectable,Once daily (maintenance),NSAID for osteoarthritis and orthopedic surgery pain. Oral liquid formulation allows precise dosing for small breeds. Long-acting; convenient once-daily dosing,Zoetis,Gastrointestinal upset; reduced appetite; diarrhea; kidney function concerns
Deramaxx,Deracoxib,NSAID - COX-2 Inhibitor,Dogs,Post-surgical pain; osteoarthritis,0.5-1,mg/kg,Oral tablet,Once or twice daily,Specifically designed for post-surgical pain (bone/joint surgery). Can be used short-term or long-term for arthritis. Available in multiple tablet strengths,Zoetis,Gastrointestinal upset; gastric ulceration; reduced appetite
Previcox,Firocoxib,NSAID - COX-2 Inhibitor,Dogs,Osteoarthritis; orthopedic/soft-tissue surgery pain,0.1-0.2,mg/kg,Oral tablet,Once daily,Newer NSAID approved in 2004. For osteoarthritis and orthopedic/soft-tissue surgery. Can be used short-term or long-term. Requires careful monitoring,Zoetis,Gastrointestinal upset; reduced appetite; diarrhea
Galliprant,Grapiprant,NSAID - EP4 Receptor Antagonist,Dogs,Osteoarthritis pain,2,mg/kg,Oral chewable tablet,Once daily,Novel pain-blocking mechanism targeting NGF receptor. Designed for dogs needing GI-friendly option. EP4 antagonist interrupts pain signaling pathway,Astellas Pharma,Diarrhea; vomiting; decreased appetite (less likely than traditional NSAIDs)
Adequan,Polysulfated Glycosaminoglycan,DMOAD,Dogs,Osteoarthritis; joint pain; cartilage support,2,mg/kg,Intramuscular injection,Every 3-4 days for 4 weeks; then every 4 weeks,Disease-modifying osteoarthritis drug. Slows arthritis progression and promotes cartilage repair. Requires multiple vet injections. Effects take weeks to develop. Benefits working/performance dogs,Zoetis,Injection site reactions; mild swelling
Lyrica,Pregabalin,Gabapentinoid,Dogs,Chronic pain; neuropathic pain; nerve pain,3-5,mg/kg,Oral capsule/tablet/liquid,Every 8-12 hours,For moderate to severe nerve pain and chronic pain. Alternative to gabapentin. Long-term therapy with strict monitoring. Requires gradual titration,Pfizer,Sedation; ataxia; lethargy; weight gain
Gabapentin,Gabapentin,Gabapentinoid,Dogs and Cats,Chronic pain; neuropathic pain; anxiety; pre-visit sedation,5-30,mg/kg,Oral capsule/tablet/liquid/powder,Every 8-12 hours,For chronic/neuropathic pain and anxiety. Cats particularly responsive to pre-visit anxiety reduction (10+ hours sedative effect). Multiple daily dosing; requires titration,Multiple brands,Sedation; ataxia; lethargy (cat dosing more pronounced)
Tramadol,Tramadol,Opioid,Dogs and Cats,Moderate to severe pain; arthritis pain,5-10,mg/kg,Oral tablet/capsule,Every 8-12 hours,Multimodal analgesic for pain management in NSAIDs-intolerant animals. Requires gradual titration. Multiple daily dosing protocol,Multiple brands,Sedation; nausea; constipation; seizures (rare)
Nizoral,Ketoconazole,Antifungal,Dogs and Cats,Ringworm; yeast infections; systemic fungal infections,10,mg/kg,Oral tablet,Every 12 hours,Cost-effective antifungal for skin/systemic fungal infections. Cats more prone to liver toxicity (use alternatives if possible). Available in 200mg tablets. Monitor liver function,Janssen,Hepatotoxicity; gastrointestinal upset; decreased appetite; skin reactions
Sporanox,Itraconazole,Antifungal,Dogs and Cats,Dermatophyte infections; yeast dermatitis; systemic fungal infections,5-10,mg/kg,Oral capsule/suspension,Every 12 hours,Preferred over ketoconazole for most fungal infections. Increased efficacy and fewer adverse effects. Available as coated bead capsules and suspension (10mg/ml),Janssen,Gastrointestinal upset; hepatotoxicity; decreased appetite
Diflucan,Fluconazole,Antifungal,Dogs and Cats,Systemic fungal infections; Cryptococcus (CNS); yeast dermatitis,5-10,mg/kg,Oral tablet/suspension/IV,Once or twice daily,Excellent CNS penetration for fungal meningitis/brain infections. Good for resistant fungal infections. Similar spectrum to itraconazole with key differences,Multiple brands,Gastrointestinal upset; hepatotoxicity; headache
Benadryl,Diphenhydramine,Antihistamine - First-Generation,Dogs and Cats,Allergic reactions; pruritus; anaphylaxis; anxiety,1-2,mg/kg,Oral tablet/liquid/injection,Every 8-12 hours,First-generation antihistamine with sedative effects. Less effective for chronic allergies than newer antihistamines (cetirizine more effective in studies),Multiple brands,Drowsiness; dry mouth; urinary retention; paradoxical hyperactivity (rare)
Zyrtec,Cetirizine,Antihistamine - Second-Generation,Dogs and Cats,Environmental allergies; allergic rhinitis; pruritus,0.2-1,mg/kg,Oral tablet/liquid,Once or twice daily,Second-generation antihistamine with minimal drowsiness and 24-hour duration. More effective than diphenhydramine for chronic allergies. Proven efficacy in dogs,Multiple brands,Minimal drowsiness; mild digestive upset; excessive salivation (rare)
Claritin,Loratadine,Antihistamine - Second-Generation,Dogs and Cats,Environmental allergies; chronic allergic conditions,0.2,mg/kg,Oral tablet,Once daily,24-hour second-generation antihistamine with minimal sedation. Suitable for daytime allergy protection. Cats typically 5mg (half tablet) once daily,Multiple brands,Minimal drowsiness; mild GI upset
Chlor-Trimeton,Chlorpheniramine,Antihistamine - First-Generation,Dogs and Cats,Respiratory allergic reactions; severe allergies,0.1-0.5 (dogs); 2mg (cats),mg/kg (dogs); mg (cats),Oral tablet,Every 8-12 hours,First-generation antihistamine effective when others fail; particularly for respiratory symptoms. OTC but fewer formulations available,Multiple brands,Drowsiness; dry mouth; urinary retention
Atarax,Hydroxyzine,Antihistamine - First-Generation,Dogs,Severe allergic reactions; severe pruritis; anxiety,1-2,mg/kg,Oral tablet/capsule,Every 6-8 hours,Reserved for severe allergic reactions when other antihistamines fail. Also used for anxiety. More sedating than other antihistamines,Multiple brands,Sedation; dry mouth; urinary retention
Cerenia,Maropitant,Antiemetic - NK1 Antagonist,Dogs and Cats,Vomiting; nausea; post-operative nausea; motion sickness,1,mg/kg,Oral tablet/IV/IM injection,Once daily,Neurokinin-1 receptor antagonist. Injectable forms for severe cases. Effective for vomiting but less effective for nausea-associated behaviors. Common in veterinary hospitals,Zoetis,Gastrointestinal upset; injection site reactions (if IM); decreased appetite
Zofran,Ondansetron,Antiemetic - 5-HT3 Antagonist,Dogs and Cats,Severe nausea and vomiting; chemotherapy-induced nausea,0.1-0.2,mg/kg,Oral tablet/injection,Every 8-12 hours,5-HT3 receptor antagonist for severe nausea/vomiting. More effective than maropitant for nausea-associated behaviors. Off-label use in veterinary medicine,Multiple brands,Gastrointestinal upset; headache; constipation (rare)
Metoclopramide,Metoclopramide,Antiemetic - Dopamine Antagonist,Dogs and Cats,Nausea; vomiting; gastroparesis; gastroesophageal reflux,0.5-1,mg/kg,Oral tablet/injection,Every 8-12 hours (high dose) or Every 12 hours (low dose),Dopamine antagonist promoting gastric motility. Less expensive but less effective than ondansetron/maropitant. Requires higher doses in dogs (1mg/kg) for antiemetic effect,Multiple brands,Gastrointestinal upset; restlessness; diarrhea
Prilosec,Omeprazole,Proton Pump Inhibitor,Dogs and Cats,GERD; gastroduodenal ulceration; gastric acid reduction,0.7,mg/kg,Oral capsule/tablet,Once daily,Reduces gastric acid; indicates for gastric ulcers; oesophagitis; NSAID-related ulcers. Often overprescribed. Now available OTC; markedly reduced cost,Multiple brands,Gastrointestinal upset; headache; vitamin B12 deficiency (long-term use)
Pepcid,Famotidine,H2 Receptor Antagonist,Dogs and Cats,Gastroesophageal reflux; gastric ulcers; gastric acid reduction,0.5,mg/kg,Oral tablet/injection,Every 12 hours,H2 receptor antagonist reducing gastric acid. Less potent than PPIs but fewer interactions. Useful for mild GERD or gastric upset,Multiple brands,Gastrointestinal upset; diarrhea; minimal side effects
Carafate,Sucralfate,Gastroprotectant,Dogs and Cats,Gastric/duodenal ulcers; esophagitis; gastric protection,0.25,gram/kg,Oral liquid/tablet,Every 6-8 hours,Protective coating for ulcerated GI tract. Forms barrier protecting damaged tissue. Requires administration separate from other medications (2 hours before/after). Suspension often used for cats,Sucralfate,Constipation; gastrointestinal upset (rare)
Thyro-Tabs,Levothyroxine,Thyroid Hormone Replacement,Dogs and Cats,Hypothyroidism; low thyroid hormone levels,0.02,mg/kg,Oral tablet,Once or twice daily,Synthetic T4 replacement for hypothyroidism. Lifelong daily therapy required. Initial dose 0.02mg/kg twice daily; adjusted based on blood tests every 2-4 weeks. Must give on empty stomach,Zoetis,Increased appetite; excessive thirst; increased urination; weight loss; hyperactivity
Cytomel,Liothyronine (T3),Thyroid Hormone Replacement,Dogs and Cats,Hypothyroidism (when levothyroxine ineffective),2-4,micrograms/kg,Oral tablet,Every 8 hours,T3 thyroid hormone for levothyroxine-refractory hypothyroidism. Short half-life requires three-times daily dosing. May cause hyperthyroid-like symptoms; less predictable than levothyroxine,Multiple brands,Hyperactivity; increased appetite; excessive thirst; anxiety
Humulin N; Novolin N,NPH Insulin,Insulin,Dogs and Cats,Diabetes mellitus,0.25-0.5 (dogs); 1 (cats),U/kg,Subcutaneous injection,Every 12 hours,Intermediate-acting human recombinant insulin. Initial dose differs based on glucose levels. Dogs typically require more frequent injections than cats,Eli Lilly; Novo Nordisk,Hypoglycemia; injection site reactions; lipodystrophy
Lantus; Toujeo,Insulin Glargine,Insulin,Dogs and Cats,Diabetes mellitus,0.5 (cats high glucose); 0.25 (cats low glucose); variable (dogs),U/kg,Subcutaneous injection,Once or twice daily,Long-acting basal insulin popular in cats. Twice-daily administration improves glycemic control and improves diabetic remission rates in cats. Requires blood glucose monitoring,Sanofi; Novo Nordisk,Hypoglycemia; injection site reactions; lipodystrophy
Levemir,Insulin Detemir,Insulin,Dogs and Cats,Diabetes mellitus,Variable,U/kg,Subcutaneous injection,Once or twice daily,Long-acting basal insulin used in diabetes management. Duration 18-24 hours. Used as alternative to glargine in resistant cases,Novo Nordisk,Hypoglycemia; injection site reactions; lipodystrophy
Glucotrol,Glipizide,Oral Hypoglycemic - Sulfonylurea,Cats,Type II diabetes mellitus,2.5-5,mg,Oral tablet,Twice daily with food,Oral diabetes medication for Type II diabetic cats with functioning beta cells. Stimulates pancreatic insulin release. Requires low-carbohydrate diet and monitoring. May lose efficacy after weeks/months,Multiple brands,Hypoglycemia; gastrointestinal upset; hepatotoxicity
Atopica,Cyclosporine,Immunosuppressant,Dogs and Cats,Atopic dermatitis; autoimmune diseases; transplant rejection,5-10,mg/kg,Oral liquid/capsule,Once or twice daily,Calcineurin inhibitor for atopic dermatitis and autoimmune conditions. Requires 4-6 weeks to achieve full effect. Regular monitoring of immunosuppression needed,Novartis,Gastrointestinal upset; gingival hyperplasia; increased susceptibility to infection
Apoquel,Oclacitinib,JAK Inhibitor,Dogs,Atopic dermatitis; pruritus; allergic inflammation,0.4-0.6,mg/kg,Oral tablet,Twice daily (7-14 days); then once daily,Novel JAK inhibitor for allergy-related itching. Rapid onset (24 hours) without systemic immunosuppression. Indicated for canine atopic dermatitis,Zoetis,Vomiting; diarrhea; pyoderma; urinary tract infections
Prednisone; Prednisolone,Prednisone; Prednisolone,Corticosteroid,Dogs and Cats,Inflammation; allergic reactions; autoimmune disease; IBD,0.5-1 (initial); taper to lowest effective,mg/kg,Oral tablet/liquid/injection,Varies based on condition,Potent anti-inflammatory and immunosuppressant. Reduces inflammation; swelling; allergic reactions. Extended use risks: GI ulceration; immunosuppression; hyperglycemia; osteoporosis,Multiple brands,Gastrointestinal upset; increased appetite; increased thirst; urination; obesity; behavioral changes
Dexamethasone,Dexamethasone,Corticosteroid,Dogs and Cats,Anaphylaxis; severe inflammation; central nervous system conditions,0.1-0.6,mg/kg,Oral tablet/injection,Once daily or divided,Long-acting corticosteroid for severe allergic/inflammatory conditions. IV administration for emergency anaphylaxis. More potent than prednisone; longer duration,Multiple brands,Gastrointestinal upset; immunosuppression; behavioral changes; diabetes risk
Virbagen Omega,Recombinant Feline Omega Interferon,Antiviral - Interferon,Cats,Feline Leukemia (FeLV); Feline Immunodeficiency Virus (FIV); viral skin conditions,5 million units,IU,Intramuscular or subcutaneous injection,Three times weekly for 2 weeks; then twice weekly,Recombinant interferon boosting immune response against persistent viral infections. Used for FeLV and FIV. Enhances antiviral immune mechanisms,Virbac,Injection site reactions; fever; malaise
Antiviral Interferon Alpha,Human Recombinant Interferon-Alpha,Antiviral - Interferon,Dogs and Cats,FIV; FeLV; viral skin conditions; persistent infections,Variable,IU/kg,Subcutaneous or IM injection,Multiple times weekly,Human recombinant interferon for viral conditions not responding to other therapies. Used for persistent viral infections. Adjunct therapy with other antivirals,Multiple brands,Injection site reactions; fever; flu-like symptoms
Tamiflu,Oseltamivir,Antiviral - Neuraminidase Inhibitor,Dogs and Cats,Canine/Feline influenza; parvovirus (adjunct),2-5,mg/kg,Oral capsule/liquid,Twice daily for 5-7 days,Neuraminidase inhibitor for influenza. Efficacy stronger in dogs; used as adjunct for severe parvovirus. May reduce viral shedding and symptom duration,Hoffmann-La Roche,Gastrointestinal upset; vomiting; diarrhea
Famvir,Famciclovir,Antiviral - Nucleoside Analog,Cats,Feline Herpesvirus-1 (FHV-1); herpes keratitis; upper respiratory herpesvirus,40-90,mg/kg,Oral tablet,Two to three times daily,First-line antiviral for feline herpesvirus. Inhibits viral DNA synthesis. Clinical improvement in respiratory and ocular symptoms. Typical dosing 40-90mg/kg orally 2-3 times daily,Multiple brands,Gastrointestinal upset; vomiting; diarrhea
Acyclovir,Acyclovir,Antiviral - Nucleoside Analog,Dogs and Cats (mainly cats),Herpesvirus infections; Pacheco's disease (birds); corneal herpes,10-20 (dogs); variable (cats),mg/kg,Oral capsule/tablet/injection,Three times daily,Generally not first-line for cats (poor bioavailability); used in dogs for herpesvirus. Injections for birds (Pacheco's). Requires frequent dosing. Cats risk reversible leucopenia,Multiple brands,Gastrointestinal upset; neurological effects (high dose); reversible anemia (cats)
Ribavirin,Ribavirin,Antiviral - Nucleoside Analog,Dogs and Cats,Severe viral infections; as alternative antiviral,Variable,mg/kg,Oral/IV/topical,Variable based on condition,Broad-spectrum antiviral for severe viral infections when other options fail. Teratogenic; monitor liver/kidney function. Limited veterinary use; primarily research/experimental,Multiple brands,Gastrointestinal upset; hepatotoxicity; teratogenicity
Animax,Nystatin + Neomycin + Thiostrepton + Triamcinolone,Topical Antifungal/Antibiotic,Dogs and Cats,Skin infections; otitis; yeast dermatitis; bacterial skin infections,Topical,Ointment,Topical application,As needed; 1-3 times daily,Combination topical treatment for mixed fungal/bacterial skin and ear infections. Ointment base; apply to affected areas. Contraindicated in animals with perforated eardrums,Zoetis,Local irritation; allergic contact dermatitis; systemic absorption if applied to large areas
Surolan,Neomycin + Polymyxin + Miconazole + Dexamethasone,Topical Antibiotic/Antifungal,Dogs and Cats,Otitis media; otitis externa; mixed infections,Ointment,Ear drops,Topical application,1-3 times daily for 7 days,Complex otologic preparation for mixed bacterial/fungal ear infections. Polyvalent antibiotic + antifungal + steroid combination. DO NOT use if eardrum perforated,Elanco,Otic irritation; contact dermatitis; systemic steroid effects (if absorbed)
